pms	classification	notes
Grasse a l'é na sità e comun-a fransèisa, postà ant j'Alp Marìtime an Còsta Asura, an sij contrafòrt dle prealp. Sò nòm a ven, peul desse, da Crassus o Grassus, un rich propietari ëd tère. A conta 49100 abitant. La comun-a a l'ha arseivù l'arconossiment ëd Sità e pais d'art e dë stòria. Contnù 1 Ël sènter ëstòrich 2 Conomìa 3 Leu d'anteresse 4 Eveniment e manifestassion 5 Anliure Ël sènter ëstòrichModifiché Ant ël sènter ëstòrich a-i son na desen-a ëd ca medievaj ch'a testimònio ëd n'época ëd benesse ëd la sità. ConomìaModifiché Grasse a l'é un sènter amportant për la përfumerìa. A l'adoss l'atività dla sità a l'era ansentrà an sle pel. Al prinsipi dël sécol ch'a fa XVIII ij guantié-përfumé ëd Grasse as son organisasse an corporassion con dij sò statù. Ma a l'ancamin dël sécol ch'a fa XIX la concorensa dle ca parisin-e a l'ha obligà ij përfumé ëd Grasse a bandoné ël comersi dij prodot finì e a voltesse vers col ëd le materie prime. L'andustria dj'essense ëd fior a conta al di d'ancheuj na tranten-a ëd bòite a Grasse (7% dla gira d'afé mondial ëd l'andustria dij përfum). Le doe colture dominante a son: la reusa ëd maj a fior sempie e ël giussmin, la varietà a fior grande, entà ansima a dël giussmin oficinal. Peui a-i ven ël portugal a fruta amèra.	correct (natural sentence)	
Fërvé a l'é lë scond mèis ëd l'ann conforma al calendari gregorian. A conta 28 di (29 ant j'agn bissestij). Sò nòm a ven dal latin Februarius, visadì "(ël mèis) dij Februa". Cost-sì a l'é ël plural ëd Februus, ël nòm dij rit ëd purificassion che ij Roman a selebravo ai 15 dël mèis. Ël calendari roman antich a contava mach 10 mèis e 304 di, përché l'invern a l'era considerà na stason sensa mèis. Ël prim mèis ëd l'ann a l'era mars. Ij mèis ëd gené e fërvé a l'ha giontaje ël re Numa Pompili. Ant l'emisfer nòrd fërvé a l'é un mèis invernal, mentre che ant l'emisfer sud a l'é estiv e a corispond climaticament a nòst mèis d'ost.	correct (natural sentence)	
A confin-a con Algerìa, Repùblica Saharawi e j'"exclave" ëspagneule ëd Ceuta e Melilla. A l'é bagnà dal Mar Mediterani e da l'Océan Atlàntich. La capital a l'é Rabat. A l'ha na surfassa ëd 446.550 km² e a conta anviron 34 milion d'abitant. Anté ch'as treuvaModifiché Stòria modernaModifiché Ël Maròch a l'é stàit un protetorà dla Fransa e dla Spagna dal 1912 al 1956, quand ch'a l'ha otnù l'indipendensa.	correct (natural sentence)	
L'evolussion a l'é la stòria dle trasformassion ëd na spece animal o vegetal ant ël temp. Ant un sens pi largh, l'evolussion a l'é ëdcò la stòria dla vita an sla Tèra.	correct (natural sentence)	
Ant un sòlid le fòrse ëd coesion a son grande, përchè le molécole a son motobin davzin-e. Si ël sòlid a l'é s-ciapà, a l'é malfé possé le molécole davzin a basta përchè coste fòrse a torno a esse grande. Cand che na sbara ëd fer a l'é rota, ij tòch a peulo compon-se për da bin, ma sensa ch'a-i sia coesion. Doe plance ordinarie ëd véder o d'assel butà tacà a mostro pòca coesion, përchè as toco mach an pòchi pont, ma a l'é possìbil sulié coste surfasse a basta për che, an butandje a contat, le fòrse ëd coesion a dvento motobin grande.	correct (natural sentence)	
Charles Babbage a l'era nassù a Teignmouth, ant ël Devon, ël 26 dë dzèmber dël 1791 e a l'é mòrt a Londra ël 18 d'otóber dël 1871. Dël 1812 a l'é stàit, ansema a Peacock e Herschel an tra ij fondador ëd la Sossietà Analìtica, dont ël but a l'era ëd fé rivé an Anghiltèra ij dësvlup recent dla matemàtica europenga, adatene le notassion e arformé l'ansegnament. Dël 1816 Babbage a l'é vnù mèmber ëd la Sossietà Real e dal 1828 al 1839 a l'ha mostrà a l'università ëd Cambridge. Lë spron dàit da Babbage a la modernisassion ëd la matemàtica an Anghiltèra a l'ha përmetune ël dësvlup ant le desen-e d'agn apress, mersì, antra j'àutri, a Cayley, Sylvester e Hamilton. Motobin angignos, Babbage as anteressa a ancaminé dal 1812 a la fabricassion d'utiss mecànich për fé dij cont e dël 1823 a oten n'agiut dal goern për dësvlupé sò proget. Dël 1833 a progeta n'angign (da chiel ciamà Màchina Analìtica) bon a fé d'operassion aritmétiche mersì a dle schede forà, un cé dl'ordinator (le nòte ëd Babbage ch'a rësguardo s'angign a son ëstàite artrovà dël 1937). Sa màchina a l'é stàita pa realisà, përchè a soa época a-i mancava la precision técnica për fela marcé. Tutun Babbage a l'ha viagià (e a l'é vnù ëdcò a Turin dël 1840), për fela conòsse an virola. Sempe creativ, Babbage a l'ha travajà pr'amelioré ël sistema postal anglèis, a l'ha fabricà n'angign pr'ëmzuré l'andi e a l'ha progetà n'utiss për paré via le bes-ce për përmëtte ai treno ëd viagé sensa perìcoj.	correct (natural sentence)	
Saint-Denis a l'é na comun-a fransèisa ëd 94700 abitant (2004), la sità pi popolà dël dipartiment ëd Sen-a Saint-Denis, ant la region ëd l'Ìsola ëd Fransa.	correct (natural sentence)	
Trin (Trino an italian) a l’é un comun ëd 7.714 abitant [1] dla provincia ëd Vërsèj, an sla riva snistra ëd Pò. Contnù 1 Stòria 2 Leu d'anteresse 3 Aministrassion 4 Sità gemelà 5 Anliure esterne 6 Arferiment StòriaModifiché Dël 1631, con la convension ëd Cherasch, Trin a l'é vnùit cap-leugh ëd na provinsa dël ducà 'd Savòja che da Pò a rivava fin-a al Canavèis e a le pòrte ëd Turin. Dël 1763 a l'é stàit alvà al rangh ëd sità dal duca Carl Emanuel III. Leu d'anteresseModifiché La cesa ëd San Michel an Insula Cesa ëd San Michel an Insula Cesa ëd San Fransesch (na vira dedicà a Santa Marìa; a armonta al sécol ch'a fa X, ma a l'é stàita arcostruìa dël 1743)	correct (natural sentence)	
Lanuvio a l'é na comun-a dla region Lassio, provincia ëd Roma, con sirca 9.692 abitant . A s'ëstend për n'aira ëd 43 kilòmetr quadrà, con na densità ëd popolassion ëd 225 ab/km quadrà. A confin-a con Aprilia (LT), Ariccia, Genzano di Roma, Velletri.	correct (natural sentence)	
La lenga prussian-a ò Prussian a l'é na lenga mòrta dël prinsipi dël 1700; a l'era parlà dzortut an Prussia oriental.	correct (natural sentence)	
Sospel a l'é na comun-a fransèisa ant la region aministrativa dla Provensa-Alp-Còsta Asura, ant ël dipartiment ëd j'Alp Marìtime. As dëstend an sna surfassa ëd 62,39 km², con 3 394 abitant, con na densità ëd 54 abitant al chilòmeter quàder. La sità a resta an sle doe rive dla Bévéra, che dal sécol ch'a fa XI a son lià dal vej pont: an soa tor a l'avìo stabilije un pedage. Ël patron a l'é l'arcàngel Michel. Contnù 1 Stòria 2 Leu d'anteresse 3 Eveniment e manifestassion 3.1 Mërcà StòriaModifiché Dël V sécol a l'era sede ëd vësco. A l'é stàit comun-a lìbera dla Provensa, peui dla Savòja, ant l'età ëd mes. Dël sécol ch'a fa XVIII a l'é stàit contà con ij féod ëd Moulinet e Castillon. Sospel a l'era un pont ëd passage dla stra dla sal; ant ël sécol ch'a fa XI la località a l'era ciamà Hospitellum, miraco për la presensa d'un pòst ëd sosta butà su da l'órdin dj'Ospidalié. Dël 1944 a l'ha avù la Cros ëd guèra. Leu d'anteresseModifiché Catedral ëd San Michel Eveniment e manifestassionModifiché Durant le Baroquiales, festival d'art baròca la prima quindzen-a ëd luj, për tre di a Sospel as ten-o dij consert ëd mùsica baròca, animassion an sle stra, degustassion e via fòrt. MërcàModifiché Ël mërcà an ten la dumìnica 'd matin an piassa dla Cabraïa e al giòbia an piassa Gianotti. A San Michel as ten ël mërcà dij produtor regionaj.	correct (natural sentence)	
Sità davzin-e: Cassano allo Ionio, Castrovillari, Corigliano Calabro, San Lorenzo del Vallo, Tarsia, Terranova da Sibari Spezzano Albanese a l'é na comun-a dla region Calabria, provincia ëd Cosensa, con sirca 7.038 abitant . A s'ëstend për n'aira ëd 33 kilòmetr quadrà, con na densità ëd popolassion ëd 213 ab/km quadrà. A confin-a con Cassano allo Ionio, Castrovillari, Corigliano Calabro, San Lorenzo del Vallo, Tarsia, Terranova da Sibari.	correct (natural sentence)	
A confina a nòrd e a ovest con la Svìssera, a òvest con le provinse ëd Còm e Lech, a sud con la provincia ëd Bérghem e a est con la provincia ëd Bressia e il Trentin-Sud Tiròl (provinse ëd Trent e Bolsan).	correct (natural sentence)	
Grand Rapids a l’é na sità djë Stat Unì d'América an lë Stat ëd Michigan. A conta na popolassion ëd 188.040 abitant (2010).	correct (natural sentence)	
Casavatore a l'é na comun-a dla region Campania, provincia ëd Nàpoli, con sirca 19884 abitant . A s'ëstend për n'aira ëd 1.62 kilòmetr quadrà, con na densità ëd popolassion ëd 12274 ab/km quadrà. A confin-a con Arzano, Casoria, Nàpoli.	correct (natural sentence)	
La Castija-La Mancha (Castilla-La Mancha an ëspagneul) a l'é un-a dle 17 Comunità autònome ch'a formo ël Regn dë Spagna. A l'ha na surfassa ëd 79.463 km2 e a conta anviron 1.977.000 abitant. La capital a l'é Toledo. GeografìaModifiché La Castija-La Mancha as treuva al sènter ëd la Spagna e a confin-a con j'àutre Comunità autònome ëd Castija e León, Comunità ëd Madrid, Aragon-a, Comunità Valensian-a, Region ëd Murcia, Andalusìa e Estremadura. LengaModifiché Ël drapò dla Comunità Autònoma ëd Castija-La Mancha La lenga ufissial a l'é lë spagneul. A-i é pa 'd dialet né 'd lenga regional, da pòst che la region ëd Castija a l'é la banda d'orìgin dla lenga spagneula, ch'a l'é dita 'dcò Castijan (Castellano).	correct (natural sentence)	
Le lenghe dij segn dij ciòrgn a son nen lenghe ant ël sens normal ëd la paròla, che a ìndica pì che àutr le lenghe stòriche. Le lenghe dij segn dij ciòrgn a son ant tùit ij cas dij langagi a tùit j'efet. La pì part a l'é gropà a la tradission ëd në stat o ëd na scòla. Ma a-i é ëdcò dij cas foravìa, com col ëd la lenga dij segn adamorobe, che a l'é dovrà ant un vilagi dël Ghana, andoa ël 15% dle përson-e a l'é ciòrgn.	correct (natural sentence)	
La paròchia ortodòssa dël Patriarcà ëd Mosca a Turin a l'é dedià a San Massim (V sec.), prim vësco dla sità e Pare dla Cesa. La festa patronal a l’é ël 25 giugn (8 luj për j’ortodòss che a van daré al vej calendari). La paròchia a l’é staita fondà ant la Diocesi ëd Chersoné, tanme le autre cese dël Patriarcà ëd Mosca an Fransa, Italia, Svissera, Spagna e Portogal. Na comunità d’ortodòss italian a l’ha dait origin dël 1993 a la paròchia ëd San Massim dël di d’ancheuj. Al comensi ëd soa vita a l'avia nen na sede permanent, e a l'é staita ospitata an vaire pòst dla sità anans dë stabilisse dël 2001 a la cesa dël Santissim Redentor (v. fòto), an sla prima colin-a ëd Turin. Le funssion a seguo ël Tipich eclesiastich (model ëd nòrme e rubriche dël cult) dla Cesa russa; la lenga che as dovra ant le celebrassion a cangia conforma la proveniensa dij fedej: cole pì dovrà a son l'italian, lë slav eclesiastich e ël romen. Da na mira dij numer la pì part dij fedeli a ven da la Republica ëd Moldova, ma con na bondosa presensa d’ortodòss ucrain, russi e italian e bele d'autre nassionalità (Bielorussia, Romania, ex-Yugoslavia, Georgia, Bulgaria). Ant lë spirit missionari che da sempe a l’é tipich dla Cesa russa, nòstra paròchia, tacà a sò deuit ëd servissi pastoral dij fedej dël Patriarcà ëd Mosca (e donca dj’ortodòss ëd tradission slava) an Piemont e Valdosta, a sërca d’agrandì na comunità local genita e tuta dedicà a testimonié la Fé ortodòssa an Ossident. Ant l’anandiament ëd la paròchia j’ortodòss italian a son dasse da fé nen mach com organisador, ma belavans ant l'acheuj dij fedej imigrà an Italia. A rësguard ëd tuti j’anteressà a la vita della paròchia, i sërcoma ëd travajé a pro ëd la mediassion cultural dël messaggi dl'Ortodossia, dzortut con la tradussion an lenga local dij test liturgich e innografici dla Cesa. Convnù che la testimoniansa della Fé ortodòssa a peul nen esse dësgionta da l'arserca ëd relassion ideaj con ij rapresentant ëd le autre confession cristian-e, nòstra paròchia a ten an pé un dialogh ativ an sij tema dle vrità ëd fé con ij cristian ëd j’autri cult a Turin. I soma tutun obligà a arfudé minca proposta ëd concelebrassion ecumeniche (che a van a l’arzigh ëd minimalism dogmatich e soens ëdcò a col ëd confusion da la mira simbòlica). I l'oma car pitòst smon-e l’ardëscoerta dle rais dël cristianesim (e ëd tut lòn che i l’oma dësmentià ëd nòstra tradission eclesiastica comun-a) e travajé ansema a l'acheuj dj’imigrà e soa antegrassion ant la vita ëd nòstra sità. Tuti a san che un dij problema ëd bas dël cristianesim a l’é mantnì la vita ëd comunità; për noiautri a l’é cost n’ideal che a l’é mincatant malfé da realisé. Nòstre cese a son faite da gent ëd livej sociaj e culturaj bin diferent e ant l’istess temp separà da confin lenghistich e mentalità leugne antra ëd lor. Bele se la paròchia a l’ha gnun finansiament e as sosten mach mersì a la generosità ëd tuti ij fedej, i podoma nen dësmentié che motobin d’ortodòss che a son imigrà nen da vaire a son an condission econòmiche bin grame: a randa dël servissi cultual e a la vita ëd preghiera is doma donch da fé për sostnì për lòn che i podoma coj che a l’han pì da manca. Për savejne ëd pì: DAIT GENERAJ AN SLA PARÒCHIA Tutto il materiale presente in questo sito è pubblicato a scopo pastorale in totale buona fede d'uso. Chiunque avesse eccezioni o vantasse diritti di copyright è pregato vivamente di comunicarcelo via e-mail (tramite la rubrica "Cont@ttaci"), attestando le sue dichiarazioni comprovate. Ciò che in queste pagine non è frutto del nostro ingegno è di proprietà dei rispettivi e originari autori, creatori e compositori grafici.	correct (natural sentence)	
La tin-a a l'é 'l contenitor che a serv për fé beuje 'l most ant 'l procediment ëd fé 'l vin. A peul vesse ëd diferente forme e materiaj.	correct (natural sentence)	
San Xiao ëd San Xiao de Narón a l’é na paròchia che a aparten al munissipi (‘‘concello’’ an galissian) ëd Narón. Soa popolassion al censiment dël 2004 a l’era ëd 987 abitant (504 fomne e 483 òm) distribuì an 11 partìe ëd popolassion. Galissia | Provinsa ëd La Coruña | Paròchie ëd Narón Castro (Santa María) | Doso (San Lourenzo) | Narón | Pedroso (San Salvador) | San Xiao de Narón (San Xiao) | Sedes (Santo Estevo) | Trasancos (San Mateo) | O Val (Santa María a Maior)	correct (natural sentence)	
Na surfassa sférica a l'é na surfassa dont ij pont a son equidistant da 'n pont ciamà sènter. Sa distansa a l'é ël raj. Na surfassa sférica a sara na porsion dë spassi, visadì un sòlid, ciamà sfera: a l'é l'ansem dij pont dont la distansa dal sènter a l'é minor o ugual al raj. As parla ëdcò dë sfera sarà. L'ansem dij pont dont la distansa dal sènter a l'é pì cita dël raj as dis sfera duverta. Na sfera a l'é un sòlid ëd rotassion. Minca diàmeter a l'é n'ass ëd rotassion. Na surfassa sférica a l'é na surfassa nen dësvlupàbil. Volum e àreaModifiché Ël volum ëd na sfera ëd raj R a l'é 4 3 π R 3 {\displaystyle {\frac {4}{3}}\pi R^{3}} . L'àrea dla surfassa a l'é 4 π R 2 {\displaystyle 4\pi R^{2}} , visadì quatr vire l'àrea d'un sercc màssim. Antra tuti ij sòlid ch'a l'han ël midem volum, la sfera a l'é col d'àrea mìnima. StòriaModifiché A l'é stàit Archimede che, për prim, a l'é stàit bon a valuté ël volum ëd na sfera e l'àrea ëd na surfassa sférica.	correct (natural sentence)	
